Observation,x1,x2,x3,x4,x5,y
1,3,3,3,3,0,0.787
2,8,30,8,8,0,0.293
3,3,6,6,6,0,1.71
4,4,4,4,12,0,0.203
5,8,7,6,5,0,0.806
6,10,20,5,5,0,4.713
7,8,6,3,3,25,0.607
8,6,24,4,4,25,9.107
9,4,10,12,4,25,9.21
10,16,12,8,4,25,1.365
11,3,10,8,8,25,4.554
12,8,3,3,3,25,0.293
13,3,6,3,3,50,2.252
14,3,8,8,3,50,9.167
15,4,8,4,8,50,0.694
16,5,2,2,2,50,0.379
17,2,2,2,3,50,0.485
18,10,15,3,3,50,3.345
19,15,6,2,3,50,0.208
20,15,6,2,3,75,0.201
21,10,4,3,3,75,0.329
22,3,8,2,2,75,4.966
23,6,6,6,4,75,1.362
24,2,3,8,6,75,1.515
25,3,3,8,8,75,0.751